行 ID,オーダー ID,オーダー日,出荷日,出荷モード,顧客 ID,顧客名,顧客区分,市区町村,都道府県,国/地域,地域,製品 ID,カテゴリ,サブカテゴリ,製品名,売上,数量,割引率,利益
1,JP-2021-1000099,2021/11/8,2021/11/8,即日配送,谷大-14605,谷奥 大地,消費者,千歳市,北海道,日本,北海道,家具-本棚-10004817,家具,本棚,"Dania キャビネット, 従来型",16974,3,0.4,-1986
2,JP-2022-1001016,2022/10/7,2022/10/10,ファースト クラス,飯真-14980,飯沼 真,消費者,豊田市,愛知県,日本,中部地方,事務用-アプ-10001193,事務用品,アプライアンス,"フーバー ミキサー, シルバー",52224,8,0,25584
3,JP-2020-1001113,2020/8/18,2020/8/21,ファースト クラス,笹大-16015,笹淵 大輔,消費者,浜松市中区,静岡県,日本,中部地方,事務用-バイ-10002621,事務用品,バインダー,"カーディナル バインダー, エコノミー",3319.2,6,0.4,211.2
4,JP-2020-1001177,2020/11/25,2020/11/27,ファースト クラス,柿海-18790,柿下 海斗,小規模事業所,千歳市,北海道,日本,北海道,家具-椅子-10000770,家具,椅子,"Novimex 折り畳み式の椅子, 赤",16446,5,0.4,2466
5,JP-2020-1001177,2020/11/25,2020/11/27,ファースト クラス,柿海-18790,柿下 海斗,小規模事業所,千歳市,北海道,日本,北海道,家具-家具-10000840,家具,家具,"Eldon フレーム, 黒",18600,4,0.4,-3720
6,JP-2020-1001799,2020/12/26,2020/12/29,セカンド クラス,吉桜-16690,吉家 桜,大企業,堺市堺区,大阪府,日本,関西地方,家具-椅子-10001828,家具,椅子,"Harbour Creations スツール, 調整可能",85218,7,0,1694
7,JP-2020-1002711,2020/6/20,2020/6/24,セカンド クラス,五美-19525,五月女 美月,大企業,佐伯市,大分県,日本,九州,事務用-紙-10004650,事務用品,紙,"サンディスク 事務用品, プレミアム",35508,11,0,10296
8,JP-2022-1003088,2022/5/30,2022/6/3,通常配送,中茂-21505,中津 茂,消費者,横須賀市,神奈川県,日本,関東地方,家具-家具-10004135,家具,家具,"Advantus 電球, 高耐久性",3420,3,0,1056
9,JP-2021-1003752,2021/10/30,2021/11/4,セカンド クラス,東麗-17905,東條 麗華,大企業,久留米市,福岡県,日本,九州,事務用-画材-10004918,事務用品,画材,"Binney & Smith ペン, 各種サイズ",4032,4,0,40
10,JP-2021-1003752,2021/10/30,2021/11/4,セカンド クラス,東麗-17905,東條 麗華,大企業,久留米市,福岡県,日本,九州,事務用-画材-10002208,事務用品,画材,"Stanley キャンバス, 大容量パック",9948,3,0,3180
